,PID,Label,Description,Relevant
494,P770,cause of destruction,item which caused the destruction of the subject item,no
495,P771,Swiss municipality code,identifier for a municipality in Switzerland,no
496,P772,INE code,"identifier for Spanish populated entities, by the Spanish Statistical Office (INE)",no
497,P773,ISO 3166-3,identifier for a country name that has been deleted from ISO 3166-1 since its first publication in 1974,no
498,P774,FIPS 55-3 (locations in the US),identifier for places in the United States per former Federal Information Processing Standard FIPS 55-3,no
499,P775,Swedish urban area code,identifier for an urban area in Sweden,no
500,P776,Swedish minor urban area code,identifier for a minor urban area in Sweden,no
501,P777,Swedish civil parish code/ATA code,identifier for a civil parish in Sweden,no
502,P778,Church of Sweden parish code,identifier for a parish of the Church of Sweden,no
503,P779,Church of Sweden Pastoratskod,identifier for a pastoral district of the Church of Sweden,no
504,P780,symptoms and signs,possible symptoms or signs of a medical condition,no
505,P781,SIKART person ID,"identifier in SIKART, a biographical dictionary and a database on visual art in Switzerland...",yes
506,P782,LAU,"identifier for a local administrative unit, renamed from NUTS 4 and NUTS 5. Format: ...",no
507,P783,hymenium type,type of spore- bearing surface of a mushroom,no
508,P784,mushroom cap shape,property classifying the shape of the cap of a mushroom,no
509,P785,hymenium attachment,how the hymenium of the mushroom attaches to the stem,no
510,P786,stipe character,indicates whether a mushroom has a universal or partial veil,no
511,P787,spore print color,color of a mushroom spore print (see documentation for allowed values),no
512,P788,mushroom ecological type,property classifying the ecological type of a mushroom,no
513,P789,edibility,whether a mushroom can be eaten or not,no
514,P790,approved by,item is approved by other item(s) [qualifier: statement is approved by other item(s)],no
515,P791,ISIL,identifier for a library or related organization,no
516,P792,chapter,title or number of the chapter where a claim is made,no
517,P793,significant event,significant or notable events associated with the subject,yes
518,P795,located on linear feature,linear feature along which distance is specified from a specified datum point,no
519,P797,authority,entity having executive power on given entity,yes
520,P798,military designation,officially assigned designation for a vehicle in military service,no
521,P799,Air Ministry specification ID,identifier for an aircraft specification issued by the United Kingdom Air Ministry,no
522,P800,notable work,"notable scientific, artistic or literary work, or other work of significance among subject' s works",yes
523,P802,student,notable student(s) of the subject individual,yes
524,P803,professorship,professorship position held by this academic person,yes
525,P804,GNIS Antarctica ID,"identifier for geographic objects in Antarctica, used in the US Geological Survey' s Geographic Names Information System. For U. S. IDs, use Property: P590",no
526,P805,statement is subject of,(qualifying) item that describes the relation identified in this statement,no
527,P806,Italian cadastre code  (municipality),identifier for an Italian comune in the cadastre,no
528,P807,separated from,subject was founded or started by separating from identified object,no
529,P808,Asset of cultural interest code,identifier for an item in the Spanish heritage register  (included RI / ARI),no
530,P809,WDPA ID,identifier in World Database on Protected Areas,no
531,P811,academic minor,minor someone studied at college/university,no
532,P812,academic major,major someone studied at college/university,no
533,P813,retrieved,date or point in time that information was retrieved from a database or website  (for use in...,no
534,P814,IUCN protected a...,protected areas category by the World Commission on Protected Areas. Used with dedicated items...,no
535,P815,ITIS TSN,identifier for a taxon in the Integrated Taxonomic Information System,no
536,P816,decays to,what isotope does this radioactive isotope decay to,no
537,P817,decay mode,"type of decay that a radioactive isotope undergoes  (should be used as a qualifier for ""decays...",no
538,P818,arXiv ID,identifier of a document in arXiv pre-print archive,no
539,P819,ADS bibcode,bibcode in the Astrophysics Data System,no
540,P820,arXiv classification,arXiv classification of pre-print articles,no
541,P821,CGNDB unique ID,identifier(s) for a geographical feature contained in the Canadian Geographical Names Database,no
542,P822,mascot,"mascot of an organization, e.g., a sports team or university",yes
543,P823,speaker,"person who is speaker for this event, ceremony, keynote, presentation or in a literary work",yes
544,P824,Meteoritical Bulletin,identifier for a meteorite in the database of the Meteoritical Society,no
545,P825,dedicated to,person or organization to whom the subject was dedicated,no
546,P826,tonality,key of a musical composition,no
547,P827,BBC programme ID,identifier for the corresponding item on the BBC website and internal systems,yes
548,P828,has cause,"underlying cause, entity that ultimately resulted in this effect",no
549,P829,OEIS ID,identifier on the On-Line Encyclopedia of Integer Sequences,no
550,,P830,No,
551,,P831,No,
552,,P832,Yes,
553,,P833,No,
554,,P834,No,
555,,P835,No,
556,,P836,No,
557,,P837,Yes,
558,,P838,No,
559,,P839,No,
560,P840,narrative location,the narrative of the work is set in this location,yes
561,P841,feast day,saint's principal feast day,yes
562,P842,Fossilworks taxon ID,"identifier for an animal, plant, or microorganism in the Fossilworks database",no
563,P843,SIRUTA code,identifier for an area of Romania per National Institute of Statistics,no
564,P844,UBIGEO code,identifier for a geographical location in Peru used by the National Statistics,no
565,P845,Saskatchewan Register of Heritage Property ID,identifier in the Saskatchewan Register of Heritage Property,yes
566,P846,GBIF taxon ID,taxon identifier in GBIF,no
567,P847,United States Navy aircraft designation,identifier for an aircraft of the United States Navy,yes
568,P849,Japanese military aircraft designation,identifier for an aircraft per the Japanese military,yes
569,P850,WoRMS-ID for taxa,identifier in the World Register of Marine Species,no
570,P852,ESRB rating,North American video game content rating,yes
571,P853,CERO rating,Japanese video game rating system,yes
572,P854,reference URL,"should be used for Internet URLs as references. Use ""Wikimedia import URL"" (P4656) for imports",no
573,P855,Sandbox-URL,"Sandbox property for value of type ""URL""",no
574,P856,official website,URL of the official page of an item (current or former),yes
575,P858,ESPNscrum player ID,"identifier for an international rugby union player, from ESPN.",yes
576,P859,sponsor,organization or individual that sponsors this item,yes
577,P860,e-archiv.li ID,"identifier in e-archiv.li, a directory of sources of Landesarchiv Liechtenstein",no
578,P861,PremiershipRugby.com p,identifier for each rugby union player who plays - or played - the English Premiership,yes
579,P862,Operational Requirement,specification for future military aircraft by the UK Air Ministry,no
580,P863,InPhO ID,identifier in the Indiana Philosophy Ontology project,no
581,P864,ACM Digital Library author ID,Association for Computing Machinery Digital Library (ACM DL) author identifier,no
582,P865,BMLO ID,identifier of Bayerisches Musiker-Lexikon Online,no
583,P866,Perlentaucher ID,identifier in Perlentaucher (Q2071388),no
584,P867,ROME Occupation Code,"ROME Code for a given occupation in France (V3, 1 letter, 4 digits)",no
585,P868,foods traditionally associated,"foods associated with an event, place, or people",no
586,P870,instrumentation,combination of musical instruments employed in a composition or accompanying a (folk) dance,no
587,P872,printed by,"organization or person who printed the creative work (if different from ""publisher"")",no
588,P873,phase point,phase point to describe critical point and triple point (see talk page for an example),no
589,P874,UN class,UN hazard classification code,no
590,P875,UN classification code,code for classification of dangerous goods defined by UN,no
591,P876,UN packaging group,packaging code according to UN transportation rules,no
592,P877,NFPA Special,"""NFPA code for a chemical' s other hazards in white  (bottom) quadrant""",no
593,P878,avionics,"notable sensors, electronics, and other avionics installed in the subject aircraft",no
594,P879,pennant number,"the number or designation associated with individual ships, often painted on the hull",no
595,P880,CPU,central processing unit found within the subject item,no
596,P881,type of variable star,type of star,no
597,P882,FIPS 6-4,"identifier for US entities  (mostly counties) per ""Federal Information Processing Series""  (FIPS",no
598,P884,State Water Register Code  (Russia),identifier of a body of water in Russia,no
599,P885,origin of the watercourse,"main source of a river, stream or lake",no
600,P886,Lexicon istoric retic ID,"identifier in the Lexicon istoric retic (LIR), Romansh variant of Historical Dictionary of Switzerland",no
601,P887,based on heuristic,indicates that the property value is determined based on some heuristic (Q201413); to be used as source,no
602,P888,JSTOR article ID,identifier for an article or a book in JSTOR,no
603,P889,Mathematical Reviews ID,"identifier in Mathematical Reviews, a journal and online database",no
604,P892,RfC ID,"identifier for an item in Request for Comments, a publication of IETF and the Internet Society (without ""RFC"" prefix)",no
605,P893,SSRN article ID,identifier for an article/paper at the SSRN,no
606,P894,zbMATH Open document ID,identifier in the zbMATH Open database,no
607,P897,United States Army and Air Force aircraft designation,identifier for a US Army and Air Force aircraft until 1962,no
608,P898,IPA transcription,transcription in the International Phonetic Alphabet,no
609,P901,FIPS 10-4 (countries and regions),Identifier for countries and regions per former Federal Information Processing Standard FIPS 10-4,no
610,P902,HDS ID,identifier in HDS/... national encyclopedia,no
611,P905,PORT film ID,PORT-... film database: identifier for a film or television program,yes
612,P906,SELIBR ID,identifier per National Library of Sweden Libris library catalog,no
613,P908,PEGI rating,European video game content rating system,yes
614,P909,Nova Scotia Register...,identifier in the Nova Scotia Register of Historic Places,no
615,P910,topic's main category,main Wikimedia category,yes
616,P911,South African municip...,identifier for a municipality in South Africa,no
617,P912,has facility,"the subject item has this type of facility, e.g. toilet, car park",no
618,P913,notation,mathematical notation or another symbol,no
619,P914,USK rating,German video game content rating - see talk page for appropriate values,yes
620,P915,filming location,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)",yes
621,P916,GSRR rating,Taiwanese video game content rating system,yes
622,P917,GRAU index,index of Russian (and Soviet) weapons and rockets,no
623,P918,NOC Occupation Code,NOC/CNP Code for a given occupation in Canada and Québec,no
624,P919,SOC Code (2010),Standard Occupational Classification code for US jobs (2010 version),no
625,P920,LEM ID,"subject headings for public libraries maintained by the Spanish Ministry of Education, Culture and Sport",no
626,P921,main subject,primary topic of a work (see also P180: depicts),yes
627,P922,magnetic ordering,magnetic ordering of a substance,no
628,P923,medical examination,examinations that might be used to diagnose and/or prognose the medical condition,no
629,P924,possible treatment,health treatment used to resolve or ameliorate a medical condition,no
630,P925,presynaptic connection,neuron connects on its presynaptic end to,no
631,P926,postsynaptic connection,neuron connects on its postsynaptic end to,no
632,P927,anatomical location,where in the body or cell does this feature or condition lie or happen,no
633,P928,activating neurotransmitter,which neurotransmitter activates the neuron,no
634,P929,color space,mathematical model describing the way colors can be represented as tuples of numbers,no
635,P930,type of electrification,electrification system scheme and/ or voltage,no
636,P931,place served by transport hub,"territorial entity or entities served by this transport hub (airport, train station, etc.)",no
637,P932,PMC publication ID,"identifier for a scientific work issued by PubMed Central (without ""PMC"" prefix)",no
638,P933,Heritage NL ID,identifier of Heritage Foundation of Newfoundland and Labrador heritage property,no
639,P935,Commons gallery,name of the Wikimedia Commons gallery page(s) related to this item,yes
640,P937,work location,"location where persons or organisations were actively participating in employment, business or other work",yes
641,P938,FishBase species ID,identifier for a species in FishBase,no
642,P939,KSH code,identifier for every municipality (town and commune) in Hungary issued by the Hungarian Central Statistical Office,no
643,P941,inspired by,"work, human, place or event which inspired this creative work or fictional entity",yes
644,P942,theme music,theme music/song used by the item,yes
645,P943,programmer,the programmer that wrote the piece of software,no
646,P944,code of nomenclature,the code that governs the scientific name of this taxon,no
647,P945,allegiance,country (or other power) that the person or group serves,yes
648,P946,ISIN,identifier for a security,no
649,P947,RSL ID (person),person identifier in the Russian State Library,no
650,P948,page banner,"image at top of an article about the topic, mainly used by Wikivoyage and Women in Red",no
651,P949,National Library of Israel ID,former identifier for authority control used at the National Library of Israel,no
652,P950,National Library of Spain ID,identifier from the authority file of the National Library of Spain,no
653,P951,NSZL (VIAF) ID,"identifier from the authority file of the National Széchényi Library, Hungary used only by VIAF",no
654,P952,ISCO-88 occupation class,International Standard Classification of Occupations code according to the ILO classification,yes
655,P953,full work available at URL,URL of a web page containing the full body of this item,no
656,P954,IBNR ID,identifier for a railway station (Internationale Bahnhofsnummer),no
657,P957,ISBN-10,"former identifier for a book (edition), ten digits",no
658,P958,"section, verse, paragraph, or","paragraph, or other kind of special indication to find information on a page or on a document",no
659,P959,MSW ID,identifier from Mammal Species of the World database,no
660,P960,Tropicos ID,identifier for a taxon name in the Tropicos database,no
661,P961,IPNI plant ID,numerical identifier for a plant name in the International Plant Names Index,no
662,P962,MycoBank taxon name ID,identifier per MycoBank - a database that provides an authoritative and comprehensive list of names of fungi,no
663,P963,streaming media URL,URL where the subject's media stream exists,yes
664,P964,Austrian municipality key,"identifier for municipalities in Austria (ÖSTAT-Nummer), format: 5 digits",yes
665,P965,burial plot reference,"string of references which identify a specific plot in a burial area, e.g. cemetery",no
666,P966,MusicBrainz label ID,identifier for a label in the MusicBrainz open music encyclopedia,yes
667,P967,guest of honor,"guest(s) of honor invited to an event, e.g. a convention",yes
668,P968,email address,"email address, prefixed with mailto:",no
669,P970,neurological function,the function of a neurological structure,no
670,P971,category combines topics,this category combines (intersects) these two or more topics,no
671,P972,catalog,"catalog for the item, or, as a qualifier of P528 – catalog for which the 'catalog code' is valid",no
672,P973,described at URL,item is described at the following URL,no
673,P974,tributary,watercourse that flows into an other one (for lake inflows use P200),no
674,P980,code for weekend and holiday homes,"identifier for a for weekend or holiday home in Sweden, assigned by Statistics Sweden",no
675,P981,BAG residence ID,"BAG code for Dutch residencies (""woonplaats"", mostly municipalities)",no
676,P982,MusicBrainz area ID,identifier for an area in the MusicBrainz open music database,no
677,P984,IOC country code,three-letter abbreviation country code by the International Olympic Committee,no
678,P988,Philippine Standard Geographic Code,systematic classification and coding of geographic areas of the Philippines,no
679,P989,spoken text audio,"audio file for the spoken work or Wikipedia article, including audio descriptions",no
680,P990,audio recording of the subject's spoken voice,audio file representing the speaking voice of a person; or of an animated cartoon or other fictitious character,yes
681,P991,successful candidate,person( s) or political organization( s ) elected after the election,yes
682,P993,NFPA Health,NFPA rating for a chemical 's hazard to health  (blue quadrant in fire diamond),no
683,P994,NFPA Fire,NFPA rating for a chemical 's flammability  (red quadrant in fire diamond),no
684,P995,NFPA Instability,NFPA rating for chemical or physical reactivity  (yellow quadrant in fire diamond),no
685,P996,document file on Wikimedia Commons,file on Wikimedia Commons related to the content of the source/ book / report,no
686,P998,Curlie ID,category path at Open Directory Project,no
687,P999,ARICNS,identifier for stars in ARICNS,no
688,P1000,record held,"notable record achieved by a person or entity, include qualifiers for dates held",yes
689,P1001,applies to jurisdiction,"the item  (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value  (a territorial jurisdiction: a country, state, municipality, ...)",no
690,P1002,engine configuration,configuration of an engine's cylinders,no
691,P1003,National Library of Romania ID,identifier for authority control used at the National Library of Romania,yes
692,P1004,MusicBrainz place ID,Identifier for a place in the MusicBrainz open music encyclopedia,yes
693,P1005,Portuguese National Library author ID,identifier for an author in the Biblioteca Nacional de Portugal,yes
694,P1006,Nationale Thesaurus voor Auteursnamen ID,identifier for person names (not: works nor organisations) from the Dutch National Thesaurus for Author names,yes
695,P1007,Lattes Platform number,number for the Lattes Platform entry on the person or group. Relationship between entry and subject must be supported by a source.,yes
696,P1010,Iran statistics ID,identifier for places in Iran,yes
697,P1011,excluding,usually used as a qualifier,no
698,P1012,including,usually used as a qualifier,no
699,P1013,criterion used,property by which a distinction or classification is made,no
700,P1014,Art & Architecture Thesaurus ID,identifier in the Art & Architecture Thesaurus by the Getty Research Institute,no
701,P1015,NORAF ID,"identifier in the Norwegian Authority File, formerly Bibsys Authority File",no
702,P1016,asteroid taxonomy,type of asteroid classification,no
703,P1017,Vatican Library ID (former scheme),historical identifier for authority control used at the Vatican Library. ...,no
704,P1018,language regulatory body,regulatory body of a language,no
705,P1019,web feed URL,"news feed (RSS, Atom, etc.) of this person/organisation/project",yes
706,P1021,KldB-2010 occupation code,identifier for an occupation in the German classification of occupations 2010...,no
707,P1022,CNO-11 occupation code,Spanish classification of occupations CNO-11 maintained by the Spanish INE,no
708,P1023,SBC-2010 occupation code,Dutch classification of occupations SBC maintained by the Dutch CBS,no
709,P1024,SBFI occupation code,Swiss classification of occupations SBFI/SEFRI maintained by the Swiss SBFI...,no
710,P1025,SUDOC editions,identifier in the French union catalog (see also P269),no
711,P1026,academic thesis,thesis or dissertation written for a degree,no
712,P1027,conferred by,"person or organization who grants an award, certification, grant, or role",yes
713,P1028,donated by,person or organization who donated the object,no
714,P1029,crew member,person that participated operating or serving aboard this vehicle,yes
715,P1030,light characteristic,description of a navigational light sequence or colour displayed on a nautical chart. Explicitly state white light (W),no
716,P1031,legal citation of this text,legal citation of legislation or a court decision,no
717,P1032,digital rights management system,technologies to control the use of digital content and devices after sale,no
718,P1033,GHS signal word,"please use with items ""warning"" (Q15350847) and ""danger"" (Q15221217)",no
719,P1034,main food source,"species, genus or family that an organism depends on for nutrition",no
720,P1035,honorific suffix,"word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person",yes
721,P1036,Dewey Decimal Classification,"use with qualifier  ""edition  (P747)"" with item value  ""DDC 23"" or create new item to represent the corresponding DDC edition",no
722,P1037,director  / manager,person who manages any kind of group,yes
723,P1038,relative,"family member  (qualify with  ""kinship to subject"", P1039; for direct family member please use specific property)",no
724,P1039,kinship to subject,"qualifier of  ""relative""  (P1038) to indicate less usual family relationships  (ancestor, son-in-law, adoptions, etc); indicate how the qualificator item is related to the main item",no
725,P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",yes
726,P1041,socket supported,socket for which the electronic part was made,no
727,P1042,ZDB ID,identifier for serials German National Serials Database,no
728,P1043,IDEO Job ID,identifier for an occupation on IDEO,no
729,P1044,SWB editions,union catalog of the South-West German Library Network  (SWB); replaced by P6721,no
730,P1045,Sycomore ID,"identifier in the Sycomore database of French MPs, National Assembly (France)",yes
731,P1046,discovery method,way an exoplanet was discovered,no
732,P1047,Catholic Hierarchy person ID,identifier for the person on catholic-_hierarchy.org,no
733,P1048,NCL ID,identifier for authority control issued by the National Central Library in Taiwan,no
734,P1049,worshipped by,religion or group/civilization that worships a given deity,yes
735,P1050,medical condition,"any state relevant to the health of an organism, including diseases and positive conditions",no
736,P1051,PSH ID,identifier in the authority database of the Czech Technical Library,no
737,P1052,Portuguese Job Code CPP-2010,{},no
738,P1053,ResearcherID,"identifier for a researcher in a system for scientific authors, redirects to a Web of Science ID, along with P3829",yes
739,P1054,NDL Bib ID,identifier of an edition in the National Diet Library,no
740,P1055,NLM Unique ID,identifier in the catalog of the National Library of Medicine,no
741,P1056,"product, material, or service produced or provided","material or product produced or sold by an organization, industry, facility, or process",yes
742,P1057,chromosome,chromosome on which an entity is localized,no
743,P1058,ERA Journal ID,identifier for academic journals,no
744,P1059,CVR number,"""unique identifier for a business in Denmark' Central Business Register (CVR), the official database of Danish businesses.""",no
745,P1060,disease transmission process,"process by which a pathogen is transmitted, equivalent to ""transmitted by"" in the relation ontology http://purl. obolibrary.org/obo/RO_0002451",no
746,P1064,track gauge,spacing of the rails on a railway track,no
747,P1065,archive URL,URL to the archived web page specified with URL property,yes
748,P1066,student of,person who has taught this person,no
749,P1067,Thailand central administrative unit code,identifier for each of the Thai central administrative units,no
750,P1068,instruction set,set of machine code instructions on which a processor architecture is based,no
751,P1069,Statistics Denmarks classification of occupation (DISCO-08),"Statistics Denmarks classification of occupation, derived from ISCO",no
752,P1070,"Plant List ID (Royal Botanic Gardens, Kew)","identifier in The Plant List database from the Royal Botanic Gardens, Kew",no
753,P1071,location of creation,"place where the item was conceived or made; where applicable, location of final assembly",no
754,P1072,readable file format,file format a program can open and read,no
755,P1073,writable file format,file format a program can create and/or write to,no
756,P1074,fictional or mythical analog of,used to link an entity or class of entities appearing in a creative work with the analogous entity or class of entities in the real world,yes
757,P1075,rector,senior official in an educational institution,no
758,P1077,KOATUU ID,identifier for each of the Ukrainian administrative units (till 2020),no
759,P1078,valvetrain configuration,configuration of the valvetrain utilized by this engine,no
760,P1079,launch contractor,organization contracted to launch the rocket,yes
761,P1080,from narrative universe,subject's fictional entity is in the object narrative. See also P1441 (present in work) and...,yes
762,P1081,Human Development Index,HDI value of a country,yes
763,P1082,population,number of people inhabiting the place; number of people of subject,yes
764,P1083,maximum capacity,number of people allowed for a venue or vehicle,yes
765,P1084,EUL editions,identifier for a book (edition) in the Egyptian union catalog,no
766,P1085,LibraryThing work ID,LibraryThing (LT) control number,no
767,P1086,atomic number,number of protons found in the nucleus of the atom,no
768,P1087,Elo rating,"quantitative measure of one's game-playing ability, particularly in classical chess",yes
769,P1088,Mohs' hardness,qualitative ordinal scale characterizing scratch resistance of various minerals,no
770,P1090,redshift,the redshift measure of an astronomical object,no
771,P1092,total produced,quantity of item produced,no
772,P1093,gross tonnage,unitless index related to a ship's overall internal volume,no
773,P1096,orbital eccentricity,amount of the deviation of an orbit from a perfect circle,no
774,P1097,g-factor,characteristic property of any elementary particle (Landé factor),no
775,P1098,"number of speakers, writers, or signers",number of people who use a language,no
776,P1099,number of masts,number of masts a ship has,no
777,P1100,number of cylinders,number of cylinders in a piston engine or compressor,no
778,P1101,floors above ground,above ground floor count of a building (ground floor and attic included),no
779,P1102,flattening,measure of the compression of an ellipsoid of revolution,no
780,P1103,number of platform tracks,number of tracks served by the platforms at a railway station,no
781,P1104,number of pages,number of pages in an edition of a written work; see allowed units constraint for valid values,no
782,P1106,Sandbox-Quantity,property to be used for testing the quantity datatype,no
783,P1107,proportion,"to be used as a qualifier, value must be between 0 and 1",no
784,P1108,electronegativity,tendency of an atom or functional group to attract electrons,no
785,P1109,refractive index,refractive index of a substance with wavelength and temperature as qualifiers,no
786,P1110,attendance,"number of people (spectators, ticket holders) at an event or exhibition",yes
787,P1111,votes received,qualifier stating the number of votes for a candidate in an election,no
788,P1113,number of episodes,number of episodes in a film/TV/radio series,yes
789,P1114,quantity,number of instances of this subject in the universe of the subject (the actual number of,no
790,P1116,ELSTAT geographical code,identifier for administrative regions and settlements of Greece by the Greek Statistical Authority (starting 2010). Not always stable.,no
791,P1117,pKa,acid dissociation constant,no
792,P1120,number of deaths,total (cumulative) number of people who died since start as a direct result of an event or cause,no
793,P1121,oxidation state,this atom has or can have the oxidation number,no
794,P1122,spin quantum number,dimensionless rational quantum number; the intrinsic spin angular momentum divided by the Dirac constant,no
795,P1123,parity quantum number,property of particles,no
796,P1125,Gini coefficient,"""measure of statistical dispersion intended to represent the income distribution of a nation's residents""",no
797,P1126,isospin quantum number,characteristic property of any particle,no
798,P1127,isospin z-component,characteristic property of any elementary particle,no
799,P1128,employees,"total number of employees of a company at a given ""point in time"" (P585). Most recent data would generally have preferred rank; data for previous years normal rank  (not deprecated rank). Add data for recent years, don't overwrite",no
800,P1129,national team appearances,total number of games officially played by a sportsman for national team,yes
801,P1132,number of participants,"number of participants of an event, e.g. people or groups of people that take part in the event (NO units)",no
802,P1133,Classified properties and protected areas of Wallonia ID,identifier per Direction générale opérationelle (Wallonia),no
803,P1135,nomenclatural status,"status of a scientific name, according to the relevant rules of nomenclature (taxonomy)",no
804,P1136,solved by,person that solved a scientific question,yes
805,P1137,fossil found in this unit,fossils that are found in this stratigraphic unit,no
806,P1138,Kunstindeks Danmark Artist ID,unique artist identifier used by Kunstindeks Danmark,yes
807,P1139,floors below ground,total number of below ground floors of the building,no
808,P1140,EHAK id,Estonian Administrative and Settlement Classification,no
809,P1141,number of processor cores,number of independent actual processing units (*not* threads),no
810,P1142,political ideology,political ideology of an organization or person or of a work (such as a newspaper),yes
811,P1143,BN (Argentine) editions,catalogue number for books (editions) in the National Library of the Argentine Republic,no
812,P1144,Library of Congress Control Number,record number for entries in the LoC bibliographic catalog (for authority records use P244),no
813,P1145,Lagrangian point,libration point of an object (default: object-sun-earth),no
814,P1146,World Athletics athlete ID,identifier for athletes in World Athletics database and website,yes
815,P1148,neutron number,number of neutrons of an isotope,no
816,P1149,Library of Congress Classification,subject classification number used in the Library of Congress Classification system,no
817,P1150,Regensburg Classification,identifier used for this class in the Regensburg Classification system,no
818,P1151,topic's main Wikimedia portal,Wikimedia portal associated with this topic,yes
819,P1153,Scopus author ID,identifier for an author assigned in Scopus bibliographic database,no
820,P1154,Scopus EID,unique academic work identifier assigned in Scopus bibliographic database,no
821,P1155,Scopus affiliation ID,identifier for an organisation in author affiliations per Scopus,no
822,P1156,Scopus source ID,"identifier for a source/publication venue (journal, conference, etc) in Scopus",no
823,P1157,US Congress Bio ID,identifier for a person on the Biographical Directory of the United States Congress,yes
824,P1158,location of landing,location where the craft landed,no
825,P1159,CODEN,CODEN bibliographic code,no
826,P1160,ISO 4 abbreviation,standard abbreviation for periodicals in the International Organization for Standardization,no
827,P1161,Z39.5 abbreviation,Z39.5 bibliographic code/abbreviation established in 1969 by National Information Standards,no
828,P1162,Bluebook abbreviation,Bluebook citation style includes abbreviations,no
829,P1163,media type,IANA-registered identifier for a file type,no
830,P1164,group cardinality,number of elements in a finite group in mathematics,no
831,P1165,home world,home planet or natural satellite for a fictional character or species,yes
832,P1167,USB vendor ID,hexadecimal identifier of a manufacturer of a USB device,no
833,P1168,municipality code (Denmark),identifier for municipalities in Denmark,no
834,P1170,transmitted signal type,type of signal transmitted by a device,yes
835,P1171,approximation algorithm,method used to approximate a number,no
836,P1172,Geokod,identifier for historical administrative division of Sweden (1862-1951),no
837,P1174,visitors per year,number of people visiting a location or an event each year,yes
838,P1181,numeric value,"numerical value of a number, a mathematical constant, or a physical constant",no
839,P1182,LIBRIS editions,the identifier for the items in the LIBRIS-catalog of the Royal Swedish Library about specific publications,no
840,P1183,Gewässerkennzahl,"a number to hydrographically order rivers and streams, use more specific properties where possible",no
841,P1184,Handle ID,"Handle System identifier, which is a superset of the DOI",no
842,P1185,Rodovid ID,identifier for a person on rodovid.org,no
843,P1186,MEP directory ID,identifier for a past or present MEP in a directory of all members of the European Parliament,yes
844,P1187,Dharma Drum Institute of Liberal Arts person ID,identifier for a person in Dharma Drum Institute of Liberal Arts (DILA)'s person authority database,no
845,P1188,Dharma Drum Institute of Liberal Arts place ID,identifier for a place in Dharma Drum Institute of Liberal Arts (DILA)'s place authority database,no
846,P1189,Chinese Library Classification,identifier used for this class in the CLC,no
847,P1190,Universal Decimal Classification,library classification of this topic,no
848,P1191,date of first performance,"date a work was first debuted, performed or live-broadcasted",yes
849,P1192,connecting service,service stopping at a station,no
850,P1193,prevalence,portion in percent of a population with a given disease or disorder,yes
851,P1194,received signal type,type of signal received by a device,no
852,P1195,file extension,"filename suffix that indicates the format of the file's contents (e.g., ""txt"" for a text file)",no
853,P1196,manner of death,"general circumstances of a person's death; e.g., natural causes, accident, suicide, homicide, etc. Use 'cause of death' (P509) for the specific physiological mechanism, e.g., heart attack, trauma, pneumonia, etc.",yes
854,P1198,unemployment rate,portion of a workforce population that is not employed,no
855,P1199,mode of inheritance,manner in which a particular genetic trait or disorder is passed from one generation to the next,no
856,P1200,category for the water basin,the Wikimedia category associated with the basin of a bodies of water,no
857,P1201,space tug,"spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory",yes
858,P1202,carries scientific instrument,"scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating",no
859,P1203,Finnish municipality number,identifier for a municipality in Finland,no
860,P1204,Wikimedia portal's main topic,primary topic of this Wikimedia portal,no
861,P1207,NUKAT ID,identifier for authority control in the Center of Warsaw University Library catalog,no
862,P1208,ISMN,International Standard Music Number,yes
863,P1209,CN,"identifier for a newspaper or magazine issued by State Administration of Press, Publication...",yes
864,P1210,supercharger,supercharger or turbocharger used by an engine,no
865,P1211,fuel system,fuel system that an engine uses,no
866,P1212,Atlas ID,identifier in the Atlas database of the Louvre Museum,no
867,P1213,NLC authorities,identifier for a person per National Library of China,no
868,P1214,Riksdagen person-ID,identifier at data.riksdagen.se,yes
869,P1215,apparent magnitude,"measurement of the brightness of an astronomic object, as seen from the Earth",no
870,P1216,National Heritage List for England number,number on the National Heritage List for England,no
871,P1217,Internet Broadway Database venue ID,identifier for a theatre or other venue in the IBDB,yes
872,P1218,Internet Broadway Database production ID,identifier for a specific run of a show,yes
873,P1219,Internet Broadway Database show ID,identifier for a play or other work  (which may have had 1 or more productions),yes
874,P1220,Internet Broadway Database person ID,identifier for personnel or organizations on Broadway,yes
875,P1221,compressor type,type of mechanical compressor technology used by subject,no
876,P1225,U. S. National Archives Identifier,"""identifier for the United States National Archives and Records Administration' s online catalog""",no
877,P1227,astronomical filter,passband used to isolate particular sections of the electromagnetic spectrum,no
878,P1229,Openpolis ID,"identifier in Openpolis, a database of Italian politicians",yes
879,P1230,JSTOR journal ID,identifier for a journal in JSTOR,no
880,P1232,Linguist List code,identifier for a language per Linguist List,no
881,P1233,Internet Speculative Fiction Database author ID,identifier for a person in the Internet Speculative Fiction Database,yes
882,P1234,ISFDB publication ID,identifier for an edition of a publication in the Internet Speculative Fiction Database,no
